,los
0,0.0
1,0.015996335648071718
2,0.028722750143398385
3,0.03465408871291215
4,0.036942822997557835
5,0.03731518297921649
6,0.036668793868256305
7,0.035486145002514714
8,0.034035543070453374
9,0.03246987588042667
10,0.03087737215475399
11,0.02930888180334068
12,0.027793120740076508
13,0.02634547407507377
14,0.024973219060988382
15,0.023678692598097663
16,0.02246124560693246
17,0.02131846439077037
18,0.020246940238825794
19,0.019242755986631273
20,0.01830179285559222
21,0.01741992198884135
22,0.01659312146856557
23,0.01581754497847129
24,0.015089559079974741
25,0.014405760204581466
26,0.01376297867519463
27,0.013158274593944213
28,0.012588928802441968
29,0.012052431036364173
30,0.011546466671684467
31,0.01106890297339243
32,0.010617775430054608
33,0.010191274537026366
34,0.009787733242894735
35,0.009405615174633418
36,0.009043503691328463
37,0.008700091773555397
38,0.008374172728296034
39,0.008064631672697142
40,0.007770437750567707
41,0.007490637030924628
42,0.007224346036498462
43,0.0069707458507771375
44,0.006729076754123702
45,0.006498633342224909
46,0.006278760083252123
47,0.006068847273403719
48,0.0058683273537907385
49,0.005676671554823663
50,0.0054933868372964625
51,0.005318013102209458
52,0.005150120644009045
53,0.004989307824345889
54,0.004835198945667315
55,0.004687442305973845
56,0.004545708417895187
57,0.004409688376891388
58,0.004279092364873913
59,0.004153648276882856
60,0.004033100459663994
61,0.003917208552075075
62,0.0038057464182270455
63,0.0036985011651430606
64,0.00359527223750655
65,0.0034958705827782856
66,0.0034001178805992695
67,0.0033078458309692017
68,0.003218895496205562
69,0.003133116692152106
70,0.003050367424523344
71,0.002970513366647808
72,0.0028934273752122654
73,0.0028189890409151
74,0.002747084271213488
75,0.00267760490259858
76,0.002610448340058635
77,0.002545517221594283
78,0.0024827191058348678
79,0.0024219661809724478
80,0.002363174993381818
81,0.0023062661944327828
82,0.0022511643041260606
83,0.002197797490297928
84,0.0021460973622421443
85,0.002095998777691865
86,0.0020474396621900045
87,0.0020003608399546094
88,0.0019547058754172
89,0.0019104209246770232
90,0.0018674545961736902
91,0.0018257578199349397
92,0.0017852837248060732
93,0.001745987523113056
94,0.001707826402252994
95,0.0016707594227439353
96,0.001634747422300987
97,0.0015997529255379307
98,0.001565740058923085
99,0.001532674470645362
